ID_Transaccion,Fecha,Cliente_ID,Producto,Categoria,Precio_Unitario,Cantidad,Descuento_%,Costo_Envio,Region
T2024-01112,2024-11-29,C0098,Camara web 1080p,perifericos,63.44,1.0,0.0,6.36,Madrid
T2024-04914,2024-05-11,C0154,Altavoz bluetooth,Audio,71.17,2.0,0.0,0.0,Madrid
T2024-02459,2024-01-07,C0591,Monitor 27 pulgadas,Informatica,257.31,2.0,0.0,0.0,Comunitat Valenciana
T2024-02536,2024-08-12,C0225,Pulsera de actividad,Vestible,62.35,1.0,30.0,3.6,Pais Vasco
T2024-01016,2024-05-15,C0203,Camara web 1080p,Perifericos,71.52,3.0,25.0,12.83,Canarias
T2024-04906,2024-01-29,C0458,Barra de sonido, Audio ,200.66,999.0,15.0,0.0,Cataluna
T2024-04194,2024-04-04,C0546,Raton ergonomico,Perifericos,45.7,1.0,25.0,4.71,Andalucia
T2024-02224,2024-12-30,C0030,Auriculares con cable,Perifericos,27.45,3.0,0.0,6.48,Madrid
T2024-00544,2024-09-29,C0007,Disco SSD 1 TB,Almacenamiento,100.16,1.0,0.0,0.0,Madrid
T2024-04074,2024-06-13,C0227,Tablet 10 pulgadas,Telefonia,270.09,1.0,25.0,0.0,Cataluna
T2024-04872,2024-11-10,C0171,Raton ergonomico,Perifericos,47.52,2.0,0.0,6.85,Galicia
T2024-00395,2024-06-30,C0045,Reloj inteligente,Vestible,170.95,2.0,0.0,0.0,Comunitat Valenciana
T2024-03826,2024-11-09,C0031,Altavoz bluetooth,Audio,80.84,4.0,15.0,0.0,Galicia
T2024-04933,2024-11-26,C0045,Auriculares con cable,Perifericos,30.97,5.0,0.0,0.0,Cataluna
T2024-03232,2024-12-16,C0115,Tablet 10 pulgadas,Telefonia,274.64,4.0,0.0,0.0,Madrid
T2024-04378,2024-12-30,C0821,Barra de sonido,Audio,212.46,1.0,0.0,0.0,Andalucia
T2024-02719,2024-12-13,C0001,Barra de sonido,Audio,204.22,2.0,20.0,0.0,Madrid
T2024-00069,2024-11-25,C0988,Raton ergonomico,Perifericos,50.66,1.0,25.0,6.55,Comunitat Valenciana
T2024-04247,2024-11-03,C0005,Camara web 1080p,Perifericos,66.51,1.0,0.0,3.27,Comunitat Valenciana
T2024-03820,2024-11-14,C0308,Reloj inteligente,Vestible,202.46,2.0,30.0,0.0,Galicia
T2024-00035,2024-03-02,C0100,Tarjeta microSD 256 GB,Almacenamiento,35.78,5.0,0.0,0.0,Andalucia
T2024-01696,2024-12-17,C0011,Auriculares inalambricos,Audio,116.91,4.0,10.0,0.0,Comunitat Valenciana
T2024-02729,2024-08-31,C0001,Camara web 1080p,Perifericos,65.8,1.0,5.0,4.34,Comunitat Valenciana
T2024-02069,2024-12-28,C0002,Auriculares con cable,Perifericos,27.85,1.0,25.0,3.63,Madrid
T2024-01372,2024-07-19,C0001,Altavoz bluetooth,Audio,80.57,2.0,5.0,9.57,Canarias
T2024-01559,2024-05-31,C0015,Altavoz bluetooth,Audio,74.91,2.0,0.0,0.0,Galicia
T2024-01525,2024-07-21,C1024,Teclado mecanico,Perifericos,90.97,2.0,20.0,0.0,Galicia
T2024-03451,2024-04-09,C1193,Disco SSD 2 TB,Almacenamiento,167.08,2.0,0.0,0.0,Cataluna
T2024-01131,2024-12-24,C0279,Pulsera de actividad,Vestible,57.2,4.0,0.0,0.0,Comunitat Valenciana
T2024-04798,2024-11-16,C0639,Teclado mecanico,Perifericos,90.92,2.0,0.0,0.0,Cataluna
T2024-03045,2024-02-04,C0592,Tarjeta microSD 256 GB,Almacenamiento,33.88,4.0,5.0,0.0,Cataluna
T2024-02872,2024-03-28,C0718,Teclado mecanico,Perifericos,95.37,5.0,0.0,0.0,Pais Vasco
T2024-04503,2024-09-05,C0682,Raton ergonomico,Perifericos,49.41,2.0,0.0,4.05,Madrid
T2024-D0011,2024-12-27,C0018,Raton ergonomico,Perifericos,46.5,2.0,0.0,5.73,Madrid
T2024-04301,2024-11-24,C0303,Disco SSD 1 TB,Almacenamiento,106.62,2.0,0.0,0.0,Cataluna
T2024-01646,2024-07-20,C0005,Reloj inteligente,Vestible,179.36,1.0,0.0,0.0,Madrid
T2024-03782,2024-06-12,C0402,Auriculares inalambricos,Audio,119.98,3.0,0.0,0.0,Galicia
T2024-04178,2024-10-17,C0019,Raton ergonomico,Perifericos,44.65,1.0,0.0,3.35,Madrid
T2024-00238,2024-06-12,C0113,Raton ergonomico,Perifericos,38.44,2.0,0.0,3.81,Comunitat Valenciana
T2024-00985,2024-01-13,C0008,Tarjeta microSD 256 GB,Almacenamiento,34.59,2.0,10.0,3.67,Cataluna
T2024-03486,2024-07-31,C0072,Raton ergonomico,Perifericos,42.24,2.0,30.0,14.8,Canarias
T2024-04279,2024-04-13,C0165,Pulsera de actividad,Vestible,55.09,1.0,5.0,3.8,Andalucia
T2024-01656,2024-08-27,C0011,Camara web 1080p,Perifericos,77.8,5.0,0.0,0.0,Comunitat Valenciana
T2024-03866,2024-07-16,C0074,Auriculares con cable,Perifericos,28.01,1.0,25.0,5.87,Madrid
T2024-03918,2024-11-02,C0019,Altavoz bluetooth,Audio,89.15,2.0,10.0,0.0,Andalucia
T2024-01413,2024-05-10,C0073,Barra de sonido,Audio,231.37,2.0,30.0,0.0,Madrid
T2024-00983,2024-11-28,C0285,Pulsera de actividad,Vestible,58.63,1.0,,4.73,Pais Vasco
T2024-04705,2024-05-26,C0001,Barra de sonido,Audio,203.62,3.0,0.0,0.0,Madrid
T2024-01463,2024-10-27,C0005,Teclado mecanico,Perifericos,94.38,1.0,25.0,5.87,Madrid
T2024-01884,2024-09-12,C0020,Raton ergonomico,Perifericos,43.37,2.0,10.0,6.16,Madrid
T2024-00789,2024-11-04,C0489,Raton ergonomico,Perifericos,44.56,2.0,0.0,6.76,Galicia
T2024-04960,2024-07-17,C0044,Disco SSD 2 TB,Almacenamiento,181.23,2.0,0.0,0.0,Comunitat Valenciana
T2024-01021,2024-11-08,C1002,Pulsera de actividad,Vestible,53.33,3.0,30.0,0.0,Comunitat Valenciana
T2024-02682,2024-09-05,C0092,Barra de sonido,Audio,186.6,1.0,0.0,0.0,Comunitat Valenciana
T2024-02444,2024-05-17,C0574,Raton ergonomico,Perifericos,44.27,2.0,15.0,3.13,Comunitat Valenciana
T2024-01320,2024-11-28,C0031,Disco SSD 2 TB,Almacenamiento,177.93,1.0,0.0,0.0,Galicia
T2024-04923,2024-05-10,C0188,Raton ergonomico,Perifericos,48.38,2.0,5.0,14.74,Canarias
T2024-03319,2024-10-20,C0325,Movil gama alta,Telefonía,1007.31,1.0,0.0,0.0,Comunitat Valenciana
T2024-01704,2024-11-27,C0122,Movil gama media,Telefonia,352.3,3.0,30.0,0.0,Galicia
T2024-02952,2024-03-16,C0082,Auriculares inalambricos,Audio,125.58,3.0,0.0,0.0,Comunitat Valenciana
T2024-00972,2024-02-16,C0759,Movil gama alta,Telefonia,1017.71,2.0,10.0,0.0,Cataluna
T2024-03261,2024-09-21,C0447,Movil gama media,Telefonia,334.66,1.0,0.0,0.0,Andalucia
T2024-03033,2024-12-27,C0059,Pulsera de actividad,Vestible,54.64,5.0,0.0,0.0,Andalucia
T2024-03514,2024-04-10,C0341,Disco SSD 1 TB,Almacenamiento,99.39,2.0,0.0,0.0,Comunitat Valenciana
T2024-00717,2024-12-30,C0013,Camara web 1080p,Perifericos,67.52,2.0,20.0,0.0,Comunitat Valenciana
T2024-00903,2024-01-22,C0411,Tarjeta microSD 256 GB,Almacenamiento,33.46,1.0,0.0,6.51,Comunitat Valenciana
T2024-00610,2024-04-25,C0014,Camara web 1080p,Perifericos,68.35,2.0,0.0,0.0,Madrid
T2024-04085,2024-04-09,C0866,Reloj inteligente,Vestible,179.53,5.0,0.0,0.0,Cataluna
T2024-02938,2024-12-17,C0004,Reloj inteligente,Vestible,179.39,5.0,0.0,0.0,Madrid
T2024-03676,2024-06-24,C0001,Tarjeta microSD 256 GB,Almacenamiento,33.85,5.0,0.0,0.0,Andalucia
T2024-04773,2024-12-27,C0158,Auriculares con cable,Perifericos,29.75,1.0,5.0,3.49,Galicia
T2024-04836,2024-09-06,C0744,Teclado mecanico,Perifericos,94.02,2.0,5.0,0.0,Madrid
T2024-01243,2024-12-20,C0001,Disco SSD 1 TB,Almacenamiento,97.32,4.0,0.0,0.0,Comunitat Valenciana
T2024-01555,2024-03-09,C0001,Movil gama media,Telefonia,354.23,1.0,30.0,0.0,Madrid
T2024-01187,2024-06-23,C0004,Teclado mecanico,Perifericos,95.91,5.0,0.0,0.0,Cataluna
T2024-00334,2024-10-17,C0005,Raton ergonomico,Perifericos,39.9,2.0,20.0,6.52,Andalucia
T2024-00326,2024-10-20,C0918,Movil gama alta,Telefonía,1009.56,4.0,0.0,0.0,Comunitat Valenciana
T2024-02841,2024-07-19,C0260,Altavoz bluetooth,Audio,77.67,2.0,0.0,0.0,Andalucia
T2024-00317,2024-11-09,C0058,Tarjeta microSD 256 GB,Almacenamiento,36.4,4.0,0.0,0.0,Andalucia
T2024-01729,2024-10-31,C0035,Portatil 16 pulgadas,Informatica,1635.25,1.0,0.0,0.0,Madrid
T2024-04005,2024-12-14,C0023,Camara web 1080p,Perifericos,65.11,4.0,10.0,0.0,Cataluna
T2024-02557,2024-11-11,C0198,Auriculares con cable,Perifericos,29.22,3.0,30.0,3.08,Pais Vasco
T2024-00855,2024-02-26,C0030,Disco SSD 1 TB,Almacenamiento,106.52,5.0,0.0,0.0,Comunitat Valenciana
T2024-04954,2024-06-30,C0002,Tablet 10 pulgadas,Telefonia,290.57,1.0,30.0,0.0,Comunitat Valenciana
T2024-01269,2024-07-20,C0026,Auriculares con cable,Perifericos,28.19,2.0,0.0,4.52,Cataluna
T2024-01524,2024-11-10,C0058,Auriculares con cable,Perifericos,28.63,1.0,,3.71,
T2024-02540,2024-12-28,C0069,Auriculares inalambricos,Audio,125.01,5.0,10.0,0.0,Comunitat Valenciana
