cliente,segmento,recencia_dias,frecuencia,antiguedad_dias,monetario,abandona,puntuacion,puntuacion_modelo_b
C0001,veterano,10,13,481,431.81,0,0.064307,0.31584
C0002,consolidado,111,4,411,129.04,0,0.274264,0.580806
C0003,consolidado,8,6,304,856.82,0,0.069911,0.327121
C0004,consolidado,201,8,418,567.93,1,0.855792,0.936688
C0005,consolidado,58,5,310,312.33,0,0.120786,0.411573
C0006,consolidado,30,6,335,646.49,0,0.065474,0.318236
C0007,veterano,427,2,531,246.9,1,0.989195,0.995448
C0008,reciente,129,2,166,205.33,0,0.588446,0.800344
C0009,reciente,1,15,175,1513.24,1,0.085982,0.356822
C0010,consolidado,86,9,445,643.53,0,0.307921,0.609739
C0011,consolidado,1,18,412,3316.39,0,0.055574,0.297061
C0012,consolidado,31,12,327,1135.82,0,0.091351,0.366015
C0013,consolidado,16,4,269,596.59,0,0.032431,0.236922
C0014,consolidado,201,2,322,133.15,0,0.562053,0.785067
C0015,consolidado,252,6,312,577.94,1,0.943591,0.975909
C0016,reciente,4,11,243,937.9,0,0.070239,0.327766
C0017,veterano,34,25,495,1268.06,0,0.117174,0.406359
C0018,reciente,78,5,166,224.8,0,0.121661,0.412823
C0019,reciente,16,9,172,690.83,0,0.186553,0.494011
C0020,consolidado,36,5,392,573.97,1,0.08798,0.36028
C0021,consolidado,13,12,370,522.33,0,0.06579,0.31888
C0022,consolidado,11,12,428,654.64,0,0.052674,0.290449
C0023,consolidado,1,15,395,970.34,0,0.054071,0.293659
C0024,reciente,183,1,183,54.01,0,0.182208,0.489145
C0025,veterano,64,9,469,1870.87,1,0.183563,0.490671
C0026,veterano,15,27,544,3405.8,0,0.115574,0.404018
C0027,consolidado,40,6,384,801.77,0,0.082693,0.351024
C0028,consolidado,178,7,374,369.49,1,0.739586,0.880998
C0029,consolidado,9,9,262,465.81,0,0.03746,0.25171
C0030,consolidado,31,6,375,1093.85,0,0.061413,0.309791
C0031,consolidado,91,8,359,1258.62,0,0.307441,0.60934
C0032,veterano,8,22,463,1208.0,0,0.090525,0.364621
C0033,consolidado,96,7,289,464.05,0,0.254234,0.562598
C0034,reciente,4,11,244,1061.97,0,0.036741,0.249669
C0035,veterano,38,13,504,1108.92,0,0.167648,0.472332
C0036,consolidado,205,5,332,417.71,1,0.792594,0.906987
C0037,consolidado,326,2,368,231.66,1,0.957766,0.98204
C0038,consolidado,33,17,426,811.47,0,0.088978,0.361992
C0039,reciente,5,7,153,316.86,0,0.027357,0.220582
C0040,reciente,4,14,227,1676.67,0,0.02793,0.222509
C0041,reciente,5,8,223,599.93,0,0.392367,0.675073
C0042,veterano,11,28,508,5681.59,0,0.136056,0.432675
C0043,veterano,82,20,505,1291.91,1,0.324599,0.623399
C0044,consolidado,38,8,382,374.63,1,0.140745,0.438875
C0045,reciente,10,16,230,1741.17,0,0.141275,0.43957
C0046,consolidado,3,8,253,813.18,1,0.062828,0.31277
C0047,veterano,39,11,533,739.92,0,0.102786,0.384603
C0048,consolidado,66,6,266,542.22,0,0.161508,0.464988
C0049,veterano,28,6,463,173.18,0,0.066527,0.320375
C0050,consolidado,26,8,419,578.85,0,0.084708,0.354591
C0051,reciente,77,8,235,1337.5,1,0.101619,0.382763
C0052,consolidado,36,8,394,599.5,0,0.075929,0.338665
C0053,veterano,9,12,477,1059.38,0,0.096987,0.375335
C0054,veterano,520,1,520,94.21,1,0.988076,0.994974
C0055,reciente,58,5,196,396.8,1,0.384037,0.669016
C0056,consolidado,0,22,358,1484.36,0,0.062456,0.311991
C0057,veterano,132,21,493,1690.03,1,0.576408,0.793427
C0058,reciente,23,2,174,131.71,0,0.195541,0.503871
C0059,reciente,6,5,235,339.02,0,0.203061,0.511921
C0060,consolidado,114,6,300,734.35,1,0.266823,0.574134
C0061,reciente,158,2,207,257.51,1,0.335444,0.632063
C0062,consolidado,227,7,391,731.14,1,0.904599,0.958764
C0063,reciente,145,3,237,297.22,0,0.214453,0.523793
C0064,consolidado,45,4,383,128.68,0,0.071121,0.329489
C0065,veterano,345,7,527,1191.45,1,0.990171,0.99586
C0066,reciente,4,13,195,1262.56,0,0.335849,0.632384
C0067,reciente,15,5,174,302.37,0,0.024543,0.210752
C0068,reciente,57,7,208,431.33,0,0.025705,0.214885
C0069,reciente,19,6,171,370.74,0,0.06505,0.317369
