cliente,segmento,gasto_real,gasto_predicho
C0001,veterano,141.49,132.13
C0002,consolidado,23.37,23.82
C0003,consolidado,389.73,383.46
C0004,consolidado,206.29,182.52
C0005,consolidado,80.8,77.86
C0006,consolidado,384.85,330.93
C0007,veterano,123.21,126.31
C0008,reciente,177.79,173.12
C0009,reciente,1112.84,1008.39
C0010,consolidado,184.9,173.96
C0011,consolidado,1753.16,1672.35
C0012,consolidado,983.7,988.11
C0013,consolidado,608.61,592.99
C0014,consolidado,108.26,107.9
C0015,consolidado,454.85,437.66
C0016,reciente,320.16,323.57
C0017,veterano,1446.44,1430.38
C0018,reciente,139.2,148.76
C0019,reciente,1037.44,966.07
C0020,consolidado,149.11,152.65
C0021,consolidado,226.92,202.4
C0022,consolidado,147.02,126.86
C0023,consolidado,589.42,506.83
C0024,reciente,40.21,42.98
C0025,veterano,954.73,851.64
C0026,veterano,1422.88,1068.74
C0027,consolidado,447.75,547.02
C0028,consolidado,241.92,250.53
C0029,consolidado,435.65,540.32
C0030,consolidado,240.93,242.97
C0031,consolidado,608.78,527.37
C0032,veterano,439.1,404.6
C0033,consolidado,535.61,463.39
C0034,reciente,865.23,691.4
C0035,veterano,344.6,339.72
C0036,consolidado,306.22,255.78
C0037,consolidado,110.21,114.85
C0038,consolidado,350.75,401.99
C0039,reciente,618.49,567.47
C0040,reciente,999.85,1123.35
C0041,reciente,628.17,601.26
C0042,veterano,1762.54,2061.77
C0043,veterano,446.02,433.12
C0044,consolidado,414.04,344.08
C0045,reciente,2276.83,1937.55
C0046,consolidado,763.56,767.38
C0047,veterano,344.48,330.31
C0048,consolidado,326.88,326.85
C0049,veterano,43.88,43.66
C0050,consolidado,214.85,198.86
C0051,reciente,920.09,817.78
C0052,consolidado,177.51,194.16
C0053,veterano,446.85,438.37
C0054,veterano,19.99,21.15
C0055,reciente,302.99,303.62
C0056,consolidado,458.05,402.87
C0057,veterano,332.64,360.45
C0058,reciente,191.51,171.62
C0059,reciente,155.64,145.04
C0060,consolidado,446.55,447.79
C0061,reciente,233.91,250.68
C0062,consolidado,247.82,247.6
C0063,reciente,428.91,459.26
C0064,consolidado,67.29,67.7
C0065,veterano,241.43,227.19
C0066,reciente,1786.73,832.29
C0067,reciente,233.3,214.93
C0068,reciente,440.04,536.99
C0069,reciente,246.0,211.11
C0070,reciente,82.72,82.15
C0071,veterano,1942.91,2492.64
