cliente,recencia_dias,frecuencia,monetario,ticket_medio,antiguedad_dias,categorias_distintas,proporcion_movil,dias_entre_pedidos,cat_informatica,cat_telefonia,abandona,segmento,particion
C0001,10,13,431.81,33.216153846153844,481,2,0.8461538461538461,37.0,0,0,0,veterano,entrena
C0002,111,4,129.04,32.26,411,3,0.25,102.8,1,0,0,consolidado,entrena
C0003,8,6,856.8199999999999,142.8033333333333,304,2,0.0,50.7,0,1,0,consolidado,entrena
C0004,201,8,567.93,70.99125,418,3,0.0,52.2,0,1,1,consolidado,entrena
C0005,58,5,312.33,62.465999999999994,310,2,0.6,62.0,0,1,0,consolidado,entrena
C0006,30,6,646.49,107.74833333333333,335,2,0.8333333333333334,55.8,0,0,0,consolidado,entrena
C0007,427,2,246.9,123.45,531,1,1.0,265.5,0,0,1,veterano,entrena
C0008,129,2,205.32999999999998,102.66499999999999,166,2,0.0,83.0,0,1,0,reciente,prueba
C0009,1,15,1513.24,100.88266666666667,175,3,0.9333333333333333,11.7,1,0,1,reciente,prueba
C0010,86,9,643.53,71.50333333333333,445,3,0.1111111111111111,49.4,0,1,0,consolidado,entrena
C0011,1,18,3316.39,184.24388888888888,412,3,0.8888888888888888,22.9,0,1,0,consolidado,entrena
C0012,31,12,1135.82,94.65166666666666,327,3,0.4166666666666667,27.2,0,0,0,consolidado,entrena
C0013,16,4,596.5899999999999,149.14749999999998,269,2,1.0,67.2,1,0,0,consolidado,entrena
C0014,201,2,133.15,66.575,322,2,0.5,161.0,0,0,0,consolidado,entrena
C0015,252,6,577.94,96.32333333333334,312,2,0.16666666666666666,52.0,0,0,1,consolidado,entrena
C0016,4,11,937.9,85.26363636363637,243,3,0.6363636363636364,22.1,0,0,0,reciente,prueba
C0017,34,25,1268.06,50.7224,495,3,0.48,19.8,0,0,0,veterano,entrena
C0018,78,5,224.8,44.96,166,2,0.4,33.2,0,0,0,reciente,prueba
C0019,16,9,690.83,76.75888888888889,172,2,0.4444444444444444,19.1,1,0,0,reciente,prueba
C0020,36,5,573.97,114.79400000000001,392,2,0.4,78.4,0,0,1,consolidado,entrena
C0021,13,12,522.33,43.5275,370,3,0.3333333333333333,30.8,0,0,0,consolidado,entrena
C0022,11,12,654.64,54.553333333333335,428,3,0.75,35.7,1,0,0,consolidado,entrena
C0023,1,15,970.34,64.68933333333334,395,3,0.4,26.3,0,0,0,consolidado,entrena
C0024,183,1,54.01,54.01,183,1,0.0,183.0,0,1,0,reciente,prueba
C0025,64,9,1870.87,207.87444444444444,469,3,0.5555555555555556,52.1,1,0,1,veterano,entrena
C0026,15,27,3405.8,126.14074074074075,544,3,0.5185185185185185,20.1,1,0,0,veterano,entrena
C0027,40,6,801.77,133.62833333333333,384,3,0.5,64.0,0,0,0,consolidado,entrena
C0028,178,7,369.49,52.784285714285716,374,3,0.14285714285714285,53.4,1,0,1,consolidado,entrena
C0029,9,9,465.81,51.75666666666667,262,3,0.7777777777777778,29.1,0,1,0,consolidado,entrena
C0030,31,6,1093.85,182.3083333333333,375,2,1.0,62.5,0,1,0,consolidado,entrena
C0031,91,8,1258.6200000000001,157.32750000000001,359,3,0.125,44.9,0,1,0,consolidado,entrena
C0032,8,22,1208.0,54.90909090909091,463,3,0.0,21.0,0,0,0,veterano,entrena
C0033,96,7,464.05,66.29285714285714,289,3,0.42857142857142855,41.3,1,0,0,consolidado,entrena
C0034,4,11,1061.97,96.54272727272728,244,3,0.18181818181818182,22.2,0,0,0,reciente,prueba
C0035,38,13,1108.92,85.30153846153847,504,2,0.38461538461538464,38.8,0,1,0,veterano,entrena
C0036,205,5,417.71,83.542,332,2,0.6,66.4,0,0,1,consolidado,entrena
C0037,326,2,231.66,115.83,368,1,0.5,184.0,0,0,1,consolidado,entrena
C0038,33,17,811.47,47.73352941176471,426,3,0.7058823529411765,25.1,0,1,0,consolidado,entrena
C0039,5,7,316.86,45.26571428571429,153,3,0.42857142857142855,21.9,0,1,0,reciente,prueba
C0040,4,14,1676.67,119.76214285714286,227,3,0.5714285714285714,16.2,0,1,0,reciente,prueba
C0041,5,8,599.9300000000001,74.99125000000001,223,2,1.0,27.9,0,0,0,reciente,prueba
C0042,11,28,5681.59,202.91392857142858,508,3,0.5714285714285714,18.1,0,0,0,veterano,entrena
C0043,82,20,1291.91,64.5955,505,3,0.3,25.2,0,0,1,veterano,entrena
C0044,38,8,374.63,46.82875,382,2,0.125,47.8,0,0,1,consolidado,entrena
C0045,10,16,1741.17,108.823125,230,2,0.5,14.4,1,0,0,reciente,prueba
C0046,3,8,813.1800000000001,101.64750000000001,253,2,0.125,31.6,0,0,1,consolidado,entrena
C0047,39,11,739.92,67.26545454545455,533,3,0.8181818181818182,48.5,0,1,0,veterano,entrena
C0048,66,6,542.22,90.37,266,1,0.8333333333333334,44.3,0,1,0,consolidado,entrena
C0049,28,6,173.18,28.863333333333333,463,2,0.8333333333333334,77.2,1,0,0,veterano,entrena
C0050,26,8,578.85,72.35625,419,2,0.625,52.4,1,0,0,consolidado,entrena
C0051,77,8,1337.5,167.1875,235,3,0.875,29.4,0,1,1,reciente,prueba
C0052,36,8,599.5,74.9375,394,3,0.75,49.2,0,1,0,consolidado,entrena
C0053,9,12,1059.38,88.28166666666668,477,2,0.25,39.8,1,0,0,veterano,entrena
C0054,520,1,94.21,94.21,520,1,0.0,520.0,0,0,1,veterano,entrena
C0055,58,5,396.8,79.36,196,3,0.2,39.2,0,1,1,reciente,prueba
C0056,0,22,1484.36,67.47090909090909,358,3,0.09090909090909091,16.3,0,0,0,consolidado,entrena
C0057,132,21,1690.03,80.47761904761904,493,3,0.47619047619047616,23.5,0,1,1,veterano,entrena
C0058,23,2,131.71,65.855,174,1,0.0,87.0,1,0,0,reciente,prueba
C0059,6,5,339.02,67.804,235,1,0.8,47.0,0,1,0,reciente,prueba
C0060,114,6,734.35,122.39166666666667,300,3,0.8333333333333334,50.0,0,0,1,consolidado,entrena
C0061,158,2,257.51,128.755,207,1,0.5,103.5,0,1,1,reciente,prueba
C0062,227,7,731.14,104.44857142857143,391,1,0.7142857142857143,55.9,0,0,1,consolidado,entrena
C0063,145,3,297.22,99.07333333333334,237,2,0.0,79.0,0,0,0,reciente,prueba
C0064,45,4,128.68,32.17,383,2,0.75,95.8,0,1,0,consolidado,entrena
